[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run TokenBuild Behavior [ RunTime:0.000067s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ShowRuntime Behavior [ RunTime:0.000118s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.014744s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | SQL: SELECT `id`,`newtitle`,`fstcreate` FROM `news` ORDER BY id LIMIT 10   [ RunTime:0.000404s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | SQL: SELECT `id`,`newtitle`,`fstcreate`,`count` FROM `news` ORDER BY count,id LIMIT 10   [ RunTime:0.000525s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | SQL: SELECT news.id,count(comment.type) as counts,news.newtitle FROM `news` left join comment on comment.type=news.id WHERE comment.isdel=1 GROUP BY comment.type ORDER BY counts desc  [ RunTime:0.000401s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.000881s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:-0.065512s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.008311s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.023642s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ContentReplace Behavior [ RunTime:0.000094s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run TokenBuild Behavior [ RunTime:0.000068s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000020s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ShowRuntime Behavior [ RunTime:0.000118s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.026931s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | SQL: SHOW COLUMNS FROM `newtype` [ RunTime:0.002425s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | SQL: SELECT * FROM `newtype` WHERE isdel=0   [ RunTime:0.001512s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.000895s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:-0.080052s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.003626s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.038198s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ContentReplace Behavior [ RunTime:0.000083s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run TokenBuild Behavior [ RunTime:0.000069s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000020s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ShowRuntime Behavior [ RunTime:0.000116s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.036750s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | SQL: SELECT COUNT(*) AS tp_count FROM `news` join newtype on newtype.id=news.newtype LIMIT 1   [ RunTime:0.000681s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | SQL: SELECT news.id,news.newtitle,news.author,news.fstcreate,news.newcontent,`count`,`typename`,`entypename`,`newimg` FROM `news` join newtype on newtype.id=news.newtype ORDER BY id desc  LIMIT 0,32   [ RunTime:0.002263s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.000912s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:-0.089480s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.009726s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.047661s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ContentReplace Behavior [ RunTime:0.000289s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run TokenBuild Behavior [ RunTime:0.000068s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000020s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ShowRuntime Behavior [ RunTime:0.000166s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.052318s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.001063s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:-0.101148s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.003592s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.059511s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ContentReplace Behavior [ RunTime:0.000096s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run TokenBuild Behavior [ RunTime:0.000071s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000020s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ShowRuntime Behavior [ RunTime:0.000117s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.058021s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.000662s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:-0.106634s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.004819s ]
[ 2013-12-06T11:09:18+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.064538s ]
