[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | SQL: SELECT news.id,count(comment.type) as counts,news.newtitle FROM `news` left join comment on comment.type=news.id WHERE comment.isdel=1 GROUP BY comment.type ORDER BY counts desc  [ RunTime:0.001467s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.004820s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.074779s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.010816s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.057591s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.000099s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000084s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000122s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.061767s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | SQL: SHOW COLUMNS FROM `newtype` [ RunTime:0.002875s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | SQL: SELECT * FROM `newtype` WHERE isdel=0   [ RunTime:0.002705s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.001911s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.097483s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.004449s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.077411s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.000086s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000071s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000127s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.075225s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | SQL: SELECT COUNT(*) AS tp_count FROM `news` join newtype on newtype.id=news.newtype LIMIT 1   [ RunTime:0.005423s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | SQL: SELECT news.id,news.newtitle,news.author,news.fstcreate,news.newcontent,`count`,`typename`,`entypename`,`newimg` FROM `news` join newtype on newtype.id=news.newtype ORDER BY id desc  LIMIT 0,32   [ RunTime:0.002207s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.001504s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.114148s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.011320s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.093755s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.000277s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000073s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000229s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.098444s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.001351s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.128229s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.004764s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.107562s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.000098s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000112s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000123s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.105693s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.000860s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.135198s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.004658s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.114031s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.000447s ]
[ 2013-11-07T11:53:18+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000073s ]
