[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Run TokenBuild Behavior [ RunTime:0.000412s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000235s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Run ShowRuntime Behavior [ RunTime:0.000517s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002190s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Tag[ view_end ] --START--
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Run ShowPageTrace Behavior [ RunTime:0.000437s ]
[ 2013-11-01T15:04:16+08:00 ] /admin/New/newlist | INFO: Tag[ view_end ] --END-- [ RunTime:0.000495s ]
[ 2013-11-01T15:04:40+08:00 ] /admin/Menu | INFO: Tag[ route_check ] --START--
[ 2013-11-01T15:04:40+08:00 ] /admin/Menu | INFO: Run CheckRoute Behavior [ RunTime:0.003587s ]
[ 2013-11-01T15:04:40+08:00 ] /admin/Menu | INFO: Tag[ route_check ] --END-- [ RunTime:0.003748s ]
[ 2013-11-01T15:04:40+08:00 ] /admin/Menu | INFO: Tag[ app_begin ] --START--
[ 2013-11-01T15:04:40+08:00 ] /admin/Menu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003197s ]
